Beans,Bulgur,Cheese,Fish,Meat,CSB,Dates,DSM,Milk,Salt,Lentils,Maize,Maize meal,Chickpeas,Rice,Sorghum,Soya-fortified bulgur wheat,Soya-fortified maize meal,Soya-fortified sorghum grits,Soya-fortified wheat flour,Sugar,Oil,Wheat,Wheat flour,WSB,label
0.722594,0,0,0,0,0,0,0.598661,0,0.05,0.26048,0,0.6766,0,0,0,0,0,0,0,0.2,0.193272,0,4.208696,0.894933,0.198785368
0.78597,0,0,0,0,0.041919,0,0.370507,0,0.05,0.018206,0,4.0248,0,0,0,0,0,0,0,0.2,0.23719,0,0,0.612264,0.804867118
0.485604,0,0,0,0,0,0,0.269622,0,0.05,0,0,0,0,0,0,0,0,0,0,0.2,0.349241,2.63646,2.067587,0.66873,0.651698902
0,0,0.573408,0,0,0,0,0.0025,0,0.05,0,0,0,0.822423,0,0,0,0,0,0,0.2,0.36338,1.52221,3.268089,0.858315,0.321998374
0.712151,0.310168,0,0,0,0.207913,0,0.397923,0,0.05,0,0,2.380648,0,0.01184,0,0,0,0,0,0.2,0.208143,0,0,0.480386,0.631485442
0.605528,0,0,0,0,0,0,0.158627,0,0.05,0,0,0,0,0,0,0,0,0,0,0.2,0.391125,3.289959,2.449872,0.746054,0.357248479
0.504664,0,0.139039,0,0,0,0,0.009963,0.427753,0.05,0,0,0,0.470755,0,0,0,0,0.1152,0,0.2,0.164446,0,5.763198,0.7,0.135276137
0.600461,3.688227,0,0,0,0,0,0.255943,0,0.05,0,0,0,0,0,0.000717,0,0,0,0,0.2,0.318051,0.393298,0,0.791209,0.723594625
0.729655,0,0,0,0,0,0,0.15782,0,0.05,0,0.892732,0,0,0,2.724705,0,0,0,0,0.2,0.163165,0.407276,0,0.882348,0.441169761
0,0,0.121348,0,0,0,0.438232,0.373778,0,0.05,0,0,0,0,0,0,0,0,0,0,0.2,0.232143,4.355081,0,0.695599,0.604911667
0.682004,0,0,0,0,0,0,0.250265,0,0.05,0,0,0,0,0,0,0,0,0,0,0.2,0.331239,3.397081,1.480045,0.695076,0.720129997
0.484118,1.7648,0,0,0,0,0,0.329684,0,0.05,0,0,0,0,0,0,0,0,0,0,0.2,0.266772,0,2.727109,0.662243,0.808957042
0.576778,0,0,0,0,0,0,0.256853,0,0.05,0,0,0,0,0,0,0,0,0,0,0.2,0.288671,2.95158,2.014796,0.643842,0.812410935
0.895557,5.75351,0,0,0,0,0,0.184845,0,0.05,0,0,0,0,0,0,0,0,0,0,0.2,0.382449,0.09429,0,0.805146,0.268249679
0,0,0.410897,0,0,0,0,0.161436,0,0.05,0,0,0,0.855597,0,0,0,0,0.062039,0,0.2,0.189914,5.372902,0,0.7,0.338513726
0.875461,0,0,0,0,0,0,0.062546,0,0.05,0,0,0,0,0,0,0,0,0,0,0.2,0.37733,0.755532,4.106732,0.804371,0.32532345
0.753593,4.282574,0,0,0,0,0,0.272942,0,0.05,0,0,0,0,0,0,0,0,0,0,0.2,0.229235,0.442102,0,0.712977,0.751963781
0,4.704334,0,0,0,0,0,0.490874,0,0.05,0.679689,0,0,0,0,0,0,0,0,0,0.2,0.234497,0,0,0.663941,0.702299643
0,0,0,0,0,0.058728,0.996035,0.002693,0.525866,0.05,0,0,0,0,0,0,0,0,0.15716,0,0.2,0.39815,3.286872,0,0.641272,0.17442831
0.939784,0,0,0,0,0,0,0.227228,0,0.05,0,0,3.323975,0,0,0,0,0,0,0,0.2,0.335353,1.88611,0,0.771794,0.453058453
0,0,0,0,0,0,0,0.306088,0,0.05,0,0,4.493622,0.808965,0,0,0,0,0,0,0.2,0.356097,1.250963,0,0.817129,0.409880764
0.506409,0,0,0,0,0.024036,0,0.348084,0,0.05,0,2.630695,0,0,0,0,0.128477,0,0,0,0.2,0.394861,0.822251,0,0.675964,0.427512526
0.606764,0.592859,0.112726,0,0,0.824089,0,0.387875,0,0.05,0,0,1.262523,0,0.805457,0,0,0,0,0,0.2,0.200723,0,0,0,0.451418726
0,0,0,0.106784,0,0,0,0,0.454891,0.05,0,0,0,0.987258,0,0,0,0,0.086974,0,0.2,0.174157,5.738638,0,0.748254,0.150111507
0,0,0,0,0,0,0,0.194776,0,0.05,0,2.718803,0,0.651492,0,0,0,0,0,0,0.2,0.261799,2.169373,0,0.876041,0.604943871
0,0,0,0,0,0,0,0.293182,0,0.05,0,2.740919,0,0.569649,0,0.671811,0,0,0,0,0.2,0.234415,1.732863,0,0.722578,0.704776678
