outcome,quantile_0.0,quantile_0.1,quantile_0.2,quantile_0.3,quantile_0.4,quantile_0.5,quantile_0.6,quantile_0.7,quantile_0.8,quantile_0.9,quantile_1.0
Neutro4,0.0,0.0,0.0,0.025199999999999997,0.043600000000000014,0.075,0.111,0.15,0.22200000000000017,0.3545324056684277,0.7190000000000001
Thrombo4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021400000000000034,0.04325016509326184,0.6576796831883203
Anemia4,0.0,0.0,0.0,0.0,0.0,0.0,0.00026922017155537584,0.01371348673536242,0.02,0.03796616645690125,0.11
Lympho4,0.0,0.0,0.0019256095354045378,0.00525036934939432,0.007936124441706749,0.009619309590318202,0.014010663502915589,0.018752042802938105,0.024455758735707055,0.03256597574965323,0.1618065513232099
GINONV_34,0.0,0.0,0.022000000000000002,0.03439999999999999,0.05,0.068,0.09,0.10600000000000001,0.13800000000000018,0.19679999999999997,0.36
ALLERGY_34,0.0,0.0,0.0,0.00022888852290893063,0.0025006775946314628,0.005053636530451912,0.008762594083729282,0.01499207328258259,0.02203143490937201,0.035833431058637934,0.11708976320002254
AUDITORY_34,0.0,0.0,0.0,0.0007557153881714944,0.0024092452803174294,0.0037446085189785025,0.005021341936791106,0.0071653559589948,0.011386676234674015,0.014675440029673924,0.06932348401341493
CARDIO_34,0.0,0.0,0.0011431502650872604,0.011030008517256547,0.017627601755249904,0.02259575763343051,0.029497701867787742,0.04023717717616378,0.05,0.0656823302857666,0.28
COAGULATION_34,0.0,0.0,0.0,0.0,0.006605752348140863,0.011474307068703886,0.018295048280178455,0.025396132269730462,0.031144694835099695,0.03993317984905046,0.09338078773889416
CONSTITUTIONAL_34,0.0,0.0,0.020000000000000004,0.04000000000000001,0.050600000000000006,0.06659761854428921,0.07609517380770515,0.08181819844581517,0.1,0.18,0.41
EPIDERMAL_34,0.0,0.0,0.0,0.0,0.01,0.02061275910002891,0.030090902969219263,0.03949023301826191,0.051638560241771776,0.0776,0.5
ENDOCRINE_34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INFECTION_34,0.0,0.0,0.014800000000000002,0.03139999999999999,0.04680000000000002,0.060507014219561395,0.06837952682318667,0.075,0.09600000000000009,0.1578,0.69
METABOLIC_34,0.0,0.0,0.0,0.020000000000000004,0.0272384769053177,0.031131104269240546,0.03588637048640804,0.04360064418983255,0.05791234667670872,0.07179999999999997,0.32
HEMORRHAGE_34,0.0,0.018473130808630295,0.020904608523924832,0.022238115970389546,0.02317315114729654,0.024085858221002784,0.025108269420574727,0.026176471696730052,0.027298356563458186,0.02932044421472073,0.13
LYMPHATICS_34,0.0,0.0,0.0,0.0,0.0008780818641307617,0.002731935089210276,0.006824934249094229,0.014138405127141913,0.02369868776292979,0.03676192439442208,0.11003473226071137
MUSCLE_34,0.0,0.0028369621066391126,0.008135506939711643,0.011345431792686971,0.015329065225644575,0.019667333783597255,0.02288105174722658,0.026677714600002112,0.03163662142716229,0.039199845682640594,0.10145285081026012
NEUROLOGICAL_34,0.0,0.0,0.0,0.0,0.0,0.02,0.022000000000000002,0.030966972690089453,0.043,0.07719999999999996,0.22
OCULAR_34,0.0,0.0,0.0019471071073493497,0.004538441402629379,0.006703472092111613,0.009059782010121344,0.011050448890289409,0.01411594191373499,0.016950566524704468,0.022211057963367746,0.056885045800538006
PAIN_34,0.0,0.0,0.0,0.010106862228148043,0.021357505434869854,0.027477698247030724,0.03305210090877195,0.03993361817126974,0.050214154492790916,0.06859263044969949,0.3
PULMONARY_34,0.0,0.0,0.0031284524445573396,0.0074934599267857315,0.01580233546879566,0.021,0.02504168397519383,0.03,0.03905608575140762,0.05289726456571482,0.188
RENAL_34,0.0,0.0,0.0,0.0,0.0017235400104118515,0.004142895304896699,0.008223909805127065,0.011690702393516892,0.016013005452130972,0.02702824377665637,0.125
VASCULAR_34,0.0,0.0038521584699324992,0.015621934434167716,0.02521726075140913,0.03309198848505561,0.043554694190034715,0.0520870597024633,0.06305222362504985,0.07501849828947789,0.10682437174763217,0.39
OTHER_34,0.031,0.059005932590445516,0.06770471721823723,0.07668534243275862,0.08212053568432046,0.0881605179941041,0.0938391414702114,0.10081057578750559,0.11738166319758389,0.13348447882291656,0.21866342932464766
DLT_PROP,0.18788123552556002,0.3481321223514496,0.41079698828558825,0.4614101483906852,0.5126000154291319,0.5438134482458966,0.5873509104986183,0.6373041536518852,0.7344821128414838,0.8219051971743585,0.9716663405605778
