,save_path,seed,cv_folds,task,parameters,best_params,valid_score,train_score,train_r2,test_score,test_r2,auc_threshold,auc_train,auc_test,outcome,outcome_label,alg,bootstrap_iteration
0,results/cart/chemo_trustregion_Neutro4_model.csv,1,5,continuous,"{'max_depth': [3, 4, 5, 6, 7, 8, 9, 10], 'min_samples_leaf': [0.02, 0.04, 0.06], 'max_features': [0.4, 0.6, 0.8, 1.0]}","{'max_depth': 3, 'max_features': 0.6, 'min_samples_leaf': 0.06}",-0.025202873269999704,0.0200432326421685,0.3021467451768366,0.019041832379617617,-0.27527754538206173,0.15,0.7107798855766336,0.6829268292682926,Neutro4,Neutro4,cart,0
0,results/linear/chemo_trustregion_Neutro4_model.csv,1,5,continuous,"{'alpha': [0.1, 1, 10, 100, 1000], 'l1_ratio': array([0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9])}","{'alpha': 1, 'l1_ratio': 0.4}",-0.02652905479883923,0.02150490628718667,0.251255068725447,0.010468936836548906,0.29886999289182714,0.15,0.7377295995182174,0.8390243902439024,Neutro4,Neutro4,linear,0
0,results/rf/chemo_trustregion_Neutro4_model.csv,1,5,continuous,"{'n_estimators': [10, 25], 'max_features': ['auto'], 'max_depth': [2, 3, 4]}","{'max_depth': 4, 'max_features': 'auto', 'n_estimators': 25}",-0.025300027095203736,0.008644331282212685,0.699026857156254,0.013909708286150567,0.06843321133683689,0.15,0.8575730201746462,0.6536585365853659,Neutro4,Neutro4,rf,0
0,results/mlp/chemo_trustregion_Neutro4_model.csv,1,5,continuous,"{'hidden_layer_sizes': [(10,), (20,), (50,), (100,)]}","{'hidden_layer_sizes': (20,)}",-19.434227924900878,0.019554703510671564,0.3191560595213606,0.029035724847562984,-0.94459268277272,0.15,0.7741644083107498,0.5544715447154471,Neutro4,Neutro4,mlp,0
0,results/gbm/chemo_trustregion_Neutro4_model.csv,1,5,continuous,"{'learning_rate': [0.01, 0.025, 0.05, 0.075, 0.1, 0.15, 0.2], 'max_depth': [2, 3, 4, 5], 'n_estimators': [20]}","{'learning_rate': 0.15, 'max_depth': 2, 'n_estimators': 20}",-0.023443656973518856,0.009967677980082105,0.6529513654002622,0.01582395945637119,-0.05976881696253833,0.15,0.8544113218909968,0.6943089430894309,Neutro4,Neutro4,gbm,0
0,results/svm/chemo_trustregion_Neutro4_model.csv,1,5,continuous,"{'C': [0.1, 1, 10, 100]}",{'C': 0.1},-0.03206860242056877,0.015239562519058432,0.4693980509096459,0.014746624030059207,0.012382940842603829,0.15,0.8389039445950015,0.7528455284552846,Neutro4,Neutro4,svm,0
0,results/cart/chemo_trustregion_OTHER_34_model.csv,1,5,continuous,"{'max_depth': [3, 4, 5, 6, 7, 8, 9, 10], 'min_samples_leaf': [0.02, 0.04, 0.06], 'max_features': [0.4, 0.6, 0.8, 1.0]}","{'max_depth': 3, 'max_features': 0.6, 'min_samples_leaf': 0.06}",-0.000824413576765492,0.0005458978203869483,0.32648296842815094,0.001372087818685206,-0.03647457853835068,0.1008105757875056,0.8158422459893048,0.6023391812865497,OTHER_34,OTHER_34,cart,0
0,results/linear/chemo_trustregion_OTHER_34_model.csv,1,5,continuous,"{'alpha': [0.1, 1, 10, 100, 1000], 'l1_ratio': array([0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9])}","{'alpha': 1, 'l1_ratio': 0.2}",-0.000810822897430102,0.0007181500983827528,0.11396179940243745,0.0012392653246078114,0.06385947930730429,0.1008105757875056,0.683322192513369,0.7726608187134503,OTHER_34,OTHER_34,linear,0
0,results/rf/chemo_trustregion_OTHER_34_model.csv,1,5,continuous,"{'n_estimators': [10, 25], 'max_features': ['auto'], 'max_depth': [2, 3, 4]}","{'max_depth': 4, 'max_features': 'auto', 'n_estimators': 25}",-0.0007932290196202829,0.00029283409736989,0.63870756643837,0.001192332927194185,0.09931219316908602,0.1008105757875056,0.872827540106952,0.6681286549707602,OTHER_34,OTHER_34,rf,0
0,results/mlp/chemo_trustregion_OTHER_34_model.csv,1,5,continuous,"{'hidden_layer_sizes': [(10,), (20,), (50,), (100,)]}","{'hidden_layer_sizes': (20,)}",-1.9851874070480786,0.0006118209935161415,0.24514837023118607,0.0018174531700553102,-0.3729033832917139,0.1008105757875056,0.7393048128342246,0.6812865497076024,OTHER_34,OTHER_34,mlp,0
