Beans,Bulgur,Cheese,Fish,Meat,CSB,Dates,DSM,Milk,Salt,Lentils,Maize,Maize meal,Chickpeas,Rice,Sorghum,Soya-fortified bulgur wheat,Soya-fortified maize meal,Soya-fortified sorghum grits,Soya-fortified wheat flour,Sugar,Oil,Wheat,Wheat flour,WSB,label
0.20864,0.282266,0.044134,0.0,0.0,0.0,0.0,0.330661,0.0,0.05,0.0,0.246389,0.0,0.63266,2.901788,0.0,0.0,0.0,0.0,0.0,0.2,0.253219,0.0,0.0,0.685954,0.7219
0.0,3.775403,0.0,0.096867,0.0,0.0,0.0,0.331498,0.0,0.05,0.834371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.286867,0.0,0.0,0.695938,0.7115
0.573039,0.0,0.0,0.0,0.0,0.0,0.0,0.317272,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.28752,2.917991,1.499328,0.613325,0.9416
0.776664,0.0,0.0,0.0,0.0,0.0,0.0,0.276302,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.297205,0.125204,3.045343,0.662018,0.7879
0.0,3.145881,0.0,0.0,0.0,0.0,0.0,0.2948,0.0,0.05,0.0,0.0,1.525493,0.427414,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.380021,0.0,0.0,0.781683,0.4503
0.6956,0.0,0.0,0.0,0.0,0.7,0.0,0.415335,0.0,0.05,0.255658,0.0,0.0,0.0,0.0,0.0,0.189531,0.0,0.0,0.0,0.2,0.390504,0.0,4.31655,0.0,0.2646
0.634802,0.0,0.0,0.0,0.0,0.345441,0.0,0.355739,0.0,0.05,0.0,4.582597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.197738,0.548014,0.0,0.407394,0.5891
0.0,5.644458,0.047467,0.0,0.0,0.0,0.0,0.360134,0.0,0.05,0.77294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.254651,0.0,0.0,0.597554,0.6235
0.728387,0.0,0.0,0.0,0.0,0.7,0.0,0.572741,0.0,0.05,0.0,5.153526,0.0,0.0,0.0,0.0,0.0,0.050948,0.0,0.0,0.2,0.179057,0.004967,0.0,0.0,0.3529
0.742791,1.761672,0.0,0.0,0.0,0.181798,0.0,0.272198,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.359798,3.23629,0.0,0.535121,0.6024
0.920101,0.0,0.0,0.0,0.0,0.0,0.0,0.187189,0.0,0.05,0.0,0.0,0.0,0.0,0.0,4.180503,0.0,0.0,0.0,0.0,0.2,0.39944,1.000369,0.0,0.784563,0.2796
0.623227,0.0,0.0,0.0,0.0,0.857611,0.0,0.417747,0.0,0.05,0.301771,0.0,0.0,0.0,2.448346,0.0,0.0,0.0,0.0,0.0,0.2,0.342386,0.0,0.0,0.017717,0.294
0.592078,0.0,0.0,0.0,0.0,0.549948,0.0,0.358994,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.233578,5.621315,0.0,0.106116,0.629
0.045098,0.0,0.0,0.0,0.0,0.478981,0.0,0.455434,0.0,0.05,0.0,0.0,0.0,0.944212,3.153591,0.0,0.0,0.0,0.0,0.0,0.2,0.284238,0.0,0.0,0.17404,0.4891
0.762457,0.0,0.0,0.0,0.0,0.57902,0.0,0.455155,0.0,0.05,0.175205,0.0,2.822034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.231787,0.0,0.0,0.112861,0.4659
0.632744,0.0,0.0,0.0,0.0,0.7,0.0,0.492877,0.0,0.05,0.024678,0.0,0.126924,0.0,1.951108,0.0,0.0,0.101641,0.0,0.0,0.2,0.379799,0.0,0.0,0.0,0.2764
0.464078,0.413066,0.275693,0.0,0.0,0.0,0.0,0.145544,0.0,0.05,0.0,0.0,0.0,0.0,4.862935,0.26609,0.0,0.0,0.0,0.0,0.2,0.177165,0.0,0.0,0.835389,0.3251
0.642815,0.804897,0.011268,0.039484,0.0,0.0,0.0,0.016945,0.33049,0.05,0.0,0.0,0.0,0.0,0.0,2.822938,0.0,0.0,0.0,0.0,0.2,0.183553,0.0,0.0,0.764444,0.5965
0.68693,0.635735,0.0,0.0,0.0,0.0,0.0,0.243894,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.322165,0.0,1.972384,0.835768,0.5347
0.259714,0.0,0.0,0.0,0.0,0.0,0.0,0.371009,0.0,0.05,0.0,0.0,0.0,0.381589,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.288146,1.108669,2.351118,0.61578,0.9192
0.826795,0.0,0.0,0.0,0.0,0.546676,0.0,0.435182,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.285892,0.0,4.004923,0.050876,0.7847
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.358748,0.05,0.0,3.66126,0.0,0.510439,0.0,0.0,0.0,0.0,0.093958,0.0,0.2,0.22394,1.78401,0.0,0.80231,0.4296
0.742128,0.0,0.0,0.0,0.0,0.0,0.0,0.177496,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.251217,1.643845,3.154108,0.674947,0.745
0.858413,0.0,0.007306,0.0,0.0,0.0,0.0,0.174042,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033492,0.0,0.0,0.2,0.206129,0.0,5.477037,0.785437,0.3949
