Beans,Bulgur,Cheese,Fish,Meat,CSB,Dates,DSM,Milk,Salt,Lentils,Maize,Maize meal,Chickpeas,Rice,Sorghum,Soya-fortified bulgur wheat,Soya-fortified maize meal,Soya-fortified sorghum grits,Soya-fortified wheat flour,Sugar,Oil,Wheat,Wheat flour,WSB,label
0.368296,0.0,0.0,0.0,0.0,0.0,0.0,0.154411,0.0,0.05,0.0,0.190605,0.0,0.0,0.0,3.161074,0.0,0.0,0.0,0.0,0.2,0.168575,1.686002,0.0,0.795248,0.3293
0.772055,0.0,0.236213,0.0,0.0,0.7,0.0,0.340317,0.0,0.05,0.114196,0.0,1.885485,0.0,0.364923,0.0,0.0,0.19082,0.0,0.0,0.2,0.157829,0.0,0.0,0.0,0.1043
0.617042,0.0,0.0,0.0,0.0,0.619463,0.0,0.440643,0.0,0.05,0.196866,0.0,0.0,0.0,2.44548,0.0,0.0,0.0,0.0,0.0,0.2,0.366869,0.0,0.0,0.150576,0.3986
0.323107,1.519989,0.0,0.0,0.0,0.7,0.0,0.571182,0.0,0.05,0.0,0.0,0.0,0.0,1.411098,0.0,0.0,0.164157,0.0,0.0,0.2,0.370868,0.0,0.0,0.0,0.1773
0.0,5.875358,0.584603,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.98219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.346032,0.0,0.0,0.888803,0.0984
0.64679,0.0,0.109755,0.0,0.0,0.7,0.0,0.470628,0.0,0.05,0.0,0.0,0.392522,0.0,1.822404,0.0,0.0,0.128363,0.0,0.0,0.2,0.240025,0.0,0.0,0.0,0.3333
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.314285,0.0,0.05,0.0,0.0,0.970069,0.701426,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.304508,2.713501,0.749467,0.646182,0.89
0.753182,0.0,0.104608,0.0,0.0,0.0,0.0,0.488543,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.395639,0.0,5.530176,0.836863,0.1941
0.616476,0.0,0.0,0.0,0.0,0.183111,0.0,0.426176,0.0,0.05,0.0,0.0,3.131327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.246495,0.543638,0.0,0.44176,0.8452
0.871514,0.0,0.0,0.0,0.0,0.0,0.0,0.065481,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.252757,0.405613,3.868145,0.89473,0.4119
0.567102,0.0,0.0,0.0,0.0,0.675064,0.0,0.450211,0.0,0.05,0.0,0.0,5.106472,0.0,0.0,0.0,0.0,0.066957,0.0,0.0,0.2,0.214354,0.694335,0.0,0.024936,0.4464
0.985812,0.0,0.0,0.0,0.0,0.0,0.0,0.04455,0.0,0.05,0.0,0.0,0.0,0.0,0.0,1.882647,0.0,0.0,0.0,0.0,0.2,0.172049,3.148483,0.841441,0.822459,0.1068
0.868102,0.0,0.0,0.0,0.0,0.0,0.0,0.213134,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.273659,2.079444,2.378159,0.666927,0.7192
0.306956,0.0,0.0,0.0,0.178393,0.7,0.0,0.410641,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.954385,0.0,0.0,0.188778,0.0,0.2,0.172715,1.459218,3.221902,0.0,0.0674
0.891792,0.0,0.0,0.0,0.0,0.0,0.0,0.083621,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.307267,2.772357,2.564591,0.868476,0.3475
0.730397,0.0,0.0,0.0,0.0,0.0,0.0,0.322352,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.379556,0.0,0.0,0.0,0.0,0.2,0.256121,4.204685,0.0,0.647343,0.8698
0.0,0.0,0.0,0.0,0.0,0.060729,0.0,0.329004,0.0,0.05,0.0,0.0,0.0,0.740565,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.26035,1.362613,2.741018,0.573961,0.919
0.990173,0.0,0.0,0.0,0.202918,0.0,0.0,0.0,0.384574,0.05,0.0,0.0,0.0,0.0,5.512118,0.0,0.0,0.0,0.0,0.195489,0.2,0.373486,0.0,0.0,0.7,0.0871
0.0,0.0,0.0,0.0,0.0,0.701629,0.0,0.0,0.588614,0.05,0.0,0.0,4.634971,0.983238,0.0,0.0,0.0,0.0,0.194335,0.0,0.2,0.393717,0.591778,0.0,0.0,0.0792
0.698153,0.607127,0.0,0.0,0.0,0.0,0.0,0.225232,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.878988,0.0,0.0,0.0,0.0,0.2,0.232754,0.0,1.986471,0.689039,0.792
0.491328,0.0,0.0,0.0,0.0,0.0,0.0,0.112936,0.0,0.05,0.0,0.0,0.0,0.0,0.0,3.535094,0.0,0.0,0.0,0.0,0.2,0.150152,2.437782,0.0,0.836726,0.1915
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.376626,0.0,0.05,0.0,0.745309,0.0,0.428636,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.23859,3.972733,0.0,0.6121,0.7021
0.0,1.771212,0.0,0.0,0.0,0.040426,0.0,0.235001,0.0,0.05,0.0,0.0,0.0,0.952348,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.331317,3.932292,0.0,0.637012,0.4194
0.0,0.0,0.269285,0.0,0.0,0.0,0.0,0.205959,0.0,0.05,0.0,0.0,0.0,0.984378,0.0,0.454861,0.0,0.0,0.0,0.0,0.2,0.151325,2.919478,0.0,0.833267,0.2308
0.617727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.594265,0.05,0.0,0.0,5.022927,0.0,0.0,0.0,0.0976,0.0,0.0,0.0,0.2,0.328598,0.384292,0.0,0.7,0.3716
0.904711,0.0,0.0,0.0,0.0,0.0,0.0,0.218504,0.010141,0.05,0.0,0.0,0.0,0.0,0.0,4.050385,0.0,0.0,0.0,0.0,0.2,0.399042,0.0,0.0,0.775212,0.3974
0.777819,0.0,0.0,0.0,0.0,0.0,0.0,0.001738,0.537991,0.05,0.15033,0.0,5.437584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.178261,0.0,0.0,0.696297,0.2914
0.626871,0.0,0.0,0.0,0.0,0.0,0.0,0.232322,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.254554,0.748976,3.069111,0.699809,0.853
0.411187,0.0,0.0,0.0,0.0,0.0,0.0,0.339826,0.0,0.05,0.0,0.0,0.0,0.0,0.0,2.552412,0.0,0.0,0.0,0.0,0.2,0.21231,1.949887,0.0,0.636641,0.6543
0.0,0.0,0.0,0.0,0.0,0.744236,0.0,0.15943,0.352259,0.05,0.0,0.0,4.814945,0.846281,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.309739,1.066015,0.0,0.0,0.3779
0.405703,0.0,0.0,0.0,0.0,0.0,0.0,0.262911,0.114615,0.05,0.0,0.0,0.0,0.0,0.0,2.494513,0.0,0.0,0.0,0.0,0.2,0.257376,1.364454,0.0,0.657331,0.7082
0.648796,0.0,0.248519,0.0,0.0,0.0,0.0,0.101949,0.0,0.05,0.0,0.0,0.0,0.288049,0.0,0.0,0.125869,0.0,0.0,0.0,0.2,0.165331,0.0,3.635372,0.763782,0.3315
0.570282,1.056863,0.0,0.0,0.0,0.044833,0.0,0.343771,0.0,0.05,0.0,3.043694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.25273,0.0,0.0,0.66594,0.8336
0.0,0.0,0.0,0.0,0.0,0.6651,0.0,0.392929,0.0,0.05,0.0,0.0,0.053501,0.824851,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.314601,4.141674,0.0,0.010701,0.7355
0.782321,0.0,0.0,0.0,0.0,0.0,0.157236,0.011519,0.447628,0.05,0.0,0.0,5.687033,0.0,0.0,0.0,0.0,0.038532,0.0,0.0,0.2,0.328794,0.0,0.0,0.7,0.3639
0.799988,0.0,0.0,0.0,0.0,0.0,0.0,0.335561,0.0,0.05,0.0,0.0,3.740968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.315418,0.472976,0.0,0.679153,0.782
0.101337,0.0,0.0,0.030303,0.081757,0.7,0.0,0.468787,0.0,0.05,0.0,0.0,0.0,0.765515,3.431548,0.0,0.045584,0.0,0.0,0.0,0.2,0.254001,0.0,0.0,0.0,0.4591
